Project ID,Region,Length (km),Delivery Model,CapEx ($M),Duration (months),Schedule Slip (%),Safety Incidents,Carbon Intensity (tCO2e/km)
RAIL001,Africa,37.6,Alliance,44.2,62,-7.3,1,749
RAIL002,Canada,49.1,EPC,2521.7,13,-0.6,23,635
RAIL003,Australia,73.7,Alliance,1004.1,36,-2.4,10,856
RAIL004,Africa,62.7,PPP,3746.3,70,-11.9,37,1068
RAIL005,Europe,25.1,Design-Bid-Build,616.4,22,-5.1,6,844
RAIL006,Asia,7.4,DBFOM,1327.7,99,1.0,14,703
RAIL007,Asia,64.4,DBFOM,1282.6,35,-2.0,12,946
RAIL008,South America,73.3,Alliance,141.9,50,-7.5,3,808
RAIL009,South America,64.2,PPP,55.9,74,7.6,1,781
RAIL010,Asia,45.8,Design-Bid-Build,1119.4,37,-9.2,13,929
RAIL011,Asia,65.9,EPC,1493.6,60,1.4,13,699
RAIL012,Africa,35.3,PPP,1282.2,38,-5.1,17,654
RAIL013,Australia,74.7,DBFOM,1592.6,58,3.7,15,862
RAIL014,South America,53.6,PPP,175.9,23,-0.9,1,891
RAIL015,Africa,42.0,Alliance,248.4,46,-9.5,1,758
RAIL016,USA,5.0,Design-Bid-Build,1539.1,32,5.3,13,555
RAIL017,Africa,82.3,DBFOM,1373.6,35,-0.8,8,827
RAIL018,Europe,39.5,Alliance,875.5,70,-4.4,13,781
RAIL019,South America,30.3,DBFOM,2695.9,70,0.1,23,692
RAIL020,Asia,53.2,Design-Bid-Build,309.6,59,-2.6,6,791
RAIL021,Africa,59.5,Design-Bid-Build,294.5,4,-2.5,1,828
RAIL022,Australia,45.9,Design-Bid-Build,0.1,53,1.6,0,710
RAIL023,Asia,45.1,Design-Bid-Build,2189.8,14,-8.1,18,758
RAIL024,South America,25.2,PPP,184.4,72,-7.6,1,700
RAIL025,Africa,44.1,EPC,3071.5,51,-5.4,31,686
RAIL026,Australia,45.4,DBFOM,834.4,13,-2.0,8,842
RAIL027,Africa,58.1,PPP,42.4,83,0.1,1,730
RAIL028,Australia,63.8,PPP,2271.0,25,5.8,16,910
RAIL029,Asia,47.1,Alliance,2569.7,86,3.0,25,842
RAIL030,USA,5.0,Design-Bid-Build,313.9,82,1.0,2,751
RAIL031,USA,36.8,PPP,545.3,25,-0.2,6,682
RAIL032,Africa,46.8,Alliance,2657.4,10,3.2,29,760
RAIL033,Asia,86.3,Alliance,2036.0,35,1.4,31,746
RAIL034,Europe,39.9,Design-Bid-Build,446.0,36,-3.3,2,1123
RAIL035,USA,47.4,Alliance,5903.8,23,3.3,57,933
RAIL036,Canada,23.9,PPP,3276.9,35,-7.8,29,954
RAIL037,Australia,35.6,Design-Bid-Build,753.8,26,1.4,7,549
RAIL038,South America,26.5,Alliance,4972.3,14,4.0,51,1035
RAIL039,Asia,82.2,Design-Bid-Build,444.9,31,-4.8,8,606
RAIL040,Europe,49.5,EPC,669.4,85,-3.5,10,929
RAIL041,Europe,29.4,PPP,1479.1,49,5.1,15,813
RAIL042,Africa,52.2,Alliance,3056.0,20,3.9,39,752
RAIL043,USA,54.0,Design-Bid-Build,978.2,48,-3.2,8,900
RAIL044,Europe,23.4,Alliance,9090.0,81,0.6,103,712
RAIL045,USA,49.2,PPP,2776.6,63,-9.6,28,568
RAIL046,South America,66.9,Alliance,2336.5,131,3.7,41,746
RAIL047,Australia,94.4,DBFOM,58.7,68,-1.2,0,533
RAIL048,USA,5.0,PPP,31.8,63,-6.9,0,1065
RAIL049,South America,59.5,EPC,110.2,17,0.8,2,949
RAIL050,USA,30.2,EPC,1658.1,23,1.1,16,1079
RAIL051,Africa,70.3,DBFOM,151.2,79,-4.3,0,763
RAIL052,Asia,60.2,Design-Bid-Build,2515.1,60,5.4,35,822
RAIL053,Africa,87.2,EPC,5916.5,39,-0.2,56,814
RAIL054,Africa,41.5,Alliance,2402.8,27,-4.3,26,682
RAIL055,Europe,84.3,EPC,1377.2,57,3.0,12,818
RAIL056,USA,43.9,DBFOM,6350.8,93,-1.3,77,814
RAIL057,Canada,44.3,Alliance,345.5,50,3.6,2,987
RAIL058,Europe,42.6,PPP,45.0,38,-3.3,0,822
RAIL059,Asia,65.2,Alliance,7950.2,37,4.5,92,826
RAIL060,South America,56.5,DBFOM,517.2,107,1.2,6,864
RAIL061,USA,70.7,DBFOM,0.1,6,-9.6,0,709
RAIL062,Africa,57.3,Design-Bid-Build,462.5,35,5.3,6,821
RAIL063,Asia,59.2,PPP,213.1,38,1.1,3,935
RAIL064,Asia,96.7,DBFOM,632.3,118,-1.0,4,583
RAIL065,Australia,28.9,EPC,5513.0,3,1.9,42,930
RAIL066,Asia,70.9,EPC,106.5,24,1.7,0,806
RAIL067,South America,19.4,DBFOM,2295.5,43,0.2,26,767
RAIL068,USA,68.7,DBFOM,823.1,60,-2.8,10,920
RAIL069,South America,55.2,Alliance,46.7,37,7.8,0,775
RAIL070,South America,34.5,Design-Bid-Build,12.8,24,-0.3,0,954
RAIL071,Canada,16.5,PPP,4920.8,22,0.5,50,921
RAIL072,Europe,60.8,EPC,1400.0,44,3.9,14,907
RAIL073,South America,30.3,PPP,689.4,63,-3.2,6,909
RAIL074,Africa,67.1,Alliance,102.3,88,7.2,1,708
RAIL075,Asia,58.5,DBFOM,124.8,16,-0.1,1,818
RAIL076,USA,20.9,EPC,95.4,36,3.4,3,867
RAIL077,Asia,44.3,EPC,752.0,19,-0.8,11,675
RAIL078,Europe,38.5,Alliance,1342.9,75,0.9,16,1060
RAIL079,South America,35.3,DBFOM,8126.4,106,1.7,111,726
RAIL080,Europe,71.5,PPP,120.4,132,2.8,1,728
RAIL081,Australia,34.9,Alliance,1172.5,12,-1.4,9,692
RAIL082,Australia,37.3,EPC,2795.7,71,-2.2,31,668
RAIL083,Australia,53.2,Alliance,4115.3,49,-0.8,43,914
RAIL084,South America,60.5,PPP,4952.5,13,10.6,50,887
RAIL085,Australia,52.9,Alliance,329.0,5,3.8,4,735
RAIL086,USA,42.1,PPP,2193.9,64,-3.8,18,703
RAIL087,USA,45.6,PPP,44.0,63,4.2,1,630
RAIL088,Europe,63.4,EPC,323.2,15,0.4,4,727
RAIL089,Europe,47.3,Design-Bid-Build,73.5,64,5.8,0,1053
RAIL090,Asia,27.1,Alliance,4150.1,12,-1.4,36,922
RAIL091,Africa,72.5,Design-Bid-Build,4416.5,25,5.8,45,860
RAIL092,Europe,46.4,PPP,2374.6,47,0.3,31,528
RAIL093,South America,54.5,Design-Bid-Build,513.4,13,8.5,4,830
RAIL094,Europe,65.5,Alliance,212.7,59,-4.4,3,778
RAIL095,Asia,25.1,Alliance,177.9,63,-8.2,0,1017
RAIL096,Africa,75.6,EPC,53.9,76,1.6,0,628
RAIL097,Canada,53.2,Design-Bid-Build,35.9,24,-4.8,2,927
RAIL098,USA,90.5,EPC,1556.4,23,-1.0,11,714
