Project ID,Location,Type,Scope (km or m3),CapEx ($M),Duration (months),Safety Score,Delay %,Rework Cost %
OIL001,Lac La Biche County,Storage Terminal,181932 m3,908.75,21,85.2,11.7%,0.5%
OIL002,Sachs Harbour,Offshore Platform,117221 m3,701.44,18,84.4,7.8%,1.2%
OIL003,Peace River,Offshore Platform,117435 m3,1311.9,34,85.5,6.2%,0.5%
OIL004,Fort Simpson,Storage Terminal,170174 m3,741.66,21,96.3,1.1%,0.5%
OIL005,Fort Saskatchewan,Storage Terminal,69457 m3,524.41,12,88.2,6.0%,0.5%
OIL006,Kugluktuk,Storage Terminal,51016 m3,591.22,16,96.6,2.6%,0.6%
OIL007,Ponoka County No. 3,Pipeline,206 km,916.42,26,95.6,3.7%,0.5%
OIL008,Lac La Biche County,Pipeline,377 km,738.16,16,91.6,7.1%,1.1%
OIL009,Redwater,Offshore Platform,158066 m3,592.43,15,88.9,7.1%,1.5%
OIL010,Clyde River,Refinery,172409 m3,1112.93,24,86.9,6.4%,1.8%
OIL011,Kugluktuk,Petrochemical Plant,155878 m3,974.54,31,93.5,4.9%,0.6%
OIL012,Lutsel K’e,Storage Terminal,145259 m3,978.53,23,84.4,7.1%,1.3%
OIL013,Clearwater County,Pipeline,434 km,721.58,14,93.2,3.9%,0.5%
OIL014,Bonnyville M.D. No. 87,Pipeline,356 km,869.1,19,88.7,4.7%,0.7%
OIL015,Fort Simpson,Pipeline,367 km,796.29,15,87.7,4.2%,0.5%
OIL016,Inuvik,Petrochemical Plant,219695 m3,1292.65,32,88.2,5.8%,1.1%
OIL017,Bonnyville,Storage Terminal,233734 m3,644.93,18,86.8,9.4%,2.4%
OIL018,Peace River,Pipeline,250 km,1238.09,28,89.7,5.3%,1.0%
OIL019,Dawson City,Refinery,84754 m3,692.77,21,89.7,0.2%,0.6%
OIL020,Fort Saskatchewan,Refinery,80306 m3,974.66,22,85.9,7.1%,1.3%
OIL021,M.D. of Opportunity No. 17,Storage Terminal,70932 m3,851.98,24,85.1,4.8%,1.5%
OIL022,Athabasca County,Pipeline,469 km,1043.41,27,95.4,2.6%,0.5%
OIL023,Peace River,Petrochemical Plant,162296 m3,533.99,13,92.4,2.3%,0.8%
OIL024,Dawson City,Petrochemical Plant,255362 m3,422.69,11,90.3,4.9%,1.8%
OIL025,M.D. of Opportunity No. 17,Petrochemical Plant,143179 m3,607.4,18,87.2,6.1%,0.7%
OIL026,Clyde River,Petrochemical Plant,199783 m3,942.8,25,79.2,11.1%,1.3%
OIL027,Lutsel K’e,Pipeline,305 km,336.39,8,96.4,1.1%,0.5%
OIL028,Strathcona County,Refinery,226089 m3,1077.92,30,92.3,1.9%,1.0%
OIL029,Bonnyville,Refinery,285362 m3,931.36,19,83.3,9.3%,0.8%
OIL030,Dawson City,Storage Terminal,82097 m3,774.45,20,86.6,6.6%,1.1%
OIL031,Inuvik,Refinery,277897 m3,705.61,21,88.3,3.7%,1.2%
OIL032,Kugluktuk,Petrochemical Plant,239407 m3,545.83,21,94.4,5.5%,2.0%
OIL033,Strathcona County,Offshore Platform,136672 m3,538.42,7,81.6,10.9%,1.4%
OIL034,Redwater,Petrochemical Plant,166352 m3,641.3,15,85.7,7.8%,1.1%
OIL035,Sachs Harbour,Petrochemical Plant,164548 m3,854.21,28,83.8,11.9%,3.0%
OIL036,Dawson City,Petrochemical Plant,253861 m3,681.42,18,90.1,3.1%,0.6%
OIL037,Lac La Biche County,Storage Terminal,243824 m3,1222.62,29,88.7,6.7%,0.7%
OIL038,Clyde River; Pond Inlet; Whale Cove,Petrochemical Plant,66364 m3,951.19,23,87.2,7.7%,1.7%
OIL039,Fort Saskatchewan,Offshore Platform,216267 m3,845.4,20,86.8,8.9%,1.8%
OIL040,Ponoka County No. 3,Storage Terminal,88494 m3,918.26,22,89.6,2.1%,1.0%
OIL041,Strathcona County,Refinery,257869 m3,682.13,20,89.4,3.9%,1.1%
OIL042,Lutsel K’e,Petrochemical Plant,273992 m3,916.26,16,92.6,7.4%,2.7%
OIL043,Kugluktuk,Refinery,120640 m3,666.16,20,94.2,2.0%,1.2%
OIL044,Inuvik,Petrochemical Plant,116234 m3,804.2,21,86.5,6.3%,2.3%
OIL045,Peace River,Petrochemical Plant,176020 m3,598.8,11,91.6,5.8%,1.1%
